x,y,resolution,semantic_class
0.125,-0.125,0.25,ground
0.125,-0.375,0.25,ground
-0.125,-0.625,0.25,ground
-0.375,-0.625,0.25,ground
-0.625,-0.875,0.25,ground
-0.875,-0.875,0.25,ground
-1.125,-1.125,0.25,ground
-1.375,-1.375,0.25,ground
-1.375,-1.625,0.25,ground
-1.125,-1.875,0.25,ground
-1.375,-2.125,0.25,ground
-1.625,-2.375,0.25,ground
-1.875,-2.625,0.25,ground
-2.125,-2.625,0.25,ground
-2.375,-2.875,0.25,ground
-2.625,-2.625,0.25,ground
-2.625,-2.375,0.25,ground
-2.625,-2.125,0.25,ground
-2.875,-1.875,0.25,ground
-3.125,-1.625,0.25,ground
-3.375,-1.375,0.25,ground
-3.625,-1.375,0.25,ground
-3.875,-1.625,0.25,ground
-4.125,-1.375,0.25,ground
-4.375,-1.375,0.25,ground
-4.625,-1.375,0.25,ground
-4.875,-1.125,0.25,ground
-5.125,-1.375,0.25,ground
-5.375,-1.125,0.25,ground
-5.625,-1.375,0.25,ground
-5.875,-1.125,0.25,ground
-5.875,-0.875,0.25,ground
-6.125,-0.625,0.25,ground
-6.375,-0.375,0.25,ground
-6.625,-0.125,0.25,ground
-6.875,0.125,0.25,ground
-7.125,0.125,0.25,ground
-7.375,0.375,0.25,ground
-7.375,0.625,0.25,ground
-7.625,0.875,0.25,ground
-7.375,1.125,0.25,ground
-7.375,1.375,0.25,ground
-7.375,1.625,0.25,ground
-7.375,1.875,0.25,ground
-7.375,2.125,0.25,ground
-7.375,2.375,0.25,ground
-7.125,2.625,0.25,ground
-7.125,2.875,0.25,ground
-7.125,3.125,0.25,ground
-7.375,3.375,0.25,ground
-7.625,3.625,0.25,ground
-7.875,3.875,0.25,ground
-7.875,4.125,0.25,ground
-8.125,4.375,0.25,ground
-8.625,4.875,0.75,ground
-9.375,5.625,0.75,ground
-10.125,6.375,0.75,ground
-10.875,7.125,0.75,ground
-11.625,7.875,0.75,ground
-12.375,8.625,0.75,ground
-13.125,9.375,0.75,ground
-13.875,10.125,0.75,ground
-14.625,10.875,0.75,ground
-15.375,11.625,0.75,ground
-16.125,12.375,0.75,ground
-16.875,13.125,0.75,ground
-17.625,13.875,0.75,ground
-18.375,13.875,0.75,ground
-19.125,13.875,0.75,ground
-19.875,14.625,0.75,ground
-20.625,15.375,0.75,ground
-21.375,15.375,0.75,ground
-22.125,16.125,0.75,ground
-22.875,16.125,0.75,ground
-23.625,16.125,0.75,ground
-25.0,17.0,2.0,ground
-27.0,17.0,2.0,ground
-29.0,19.0,2.0,ground
