time_sec,x,y,heading_deg,velocity_mps,velocity_kmh,steering_deg,dist_to_goal_m,status
0.0,0.125,-0.125,-84.47,0.0,0.0,-32.0,34.84,TURNING_RIGHT
0.1,0.126,-0.14,-84.77,0.15,0.54,-32.0,34.85,TURNING_RIGHT
0.2,0.129,-0.17,-85.37,0.3,1.08,-32.0,34.87,TURNING_RIGHT
0.3,0.133,-0.215,-86.26,0.45,1.62,-32.0,34.9,TURNING_RIGHT
0.4,0.137,-0.275,-87.46,0.6,2.16,-32.0,34.94,TURNING_RIGHT
0.5,0.14,-0.349,-88.95,0.75,2.7,-32.0,34.98,TURNING_RIGHT
0.6,0.142,-0.439,-90.74,0.9,3.24,-32.0,35.03,TURNING_RIGHT
0.7,0.14,-0.544,-92.83,1.05,3.78,-32.0,35.09,TURNING_RIGHT
0.8,0.134,-0.664,-95.21,1.2,4.32,-32.0,35.15,TURNING_RIGHT
0.9,0.122,-0.799,-97.9,1.35,4.86,-32.0,35.21,TURNING_RIGHT
1.0,0.103,-0.937,-100.68,1.4,5.04,-32.0,35.28,TURNING_RIGHT
1.1,0.077,-1.075,-103.47,1.4,5.04,-32.0,35.33,TURNING_RIGHT
1.2,0.044,-1.211,-106.25,1.4,5.04,-32.0,35.38,TURNING_RIGHT
1.3,0.005,-1.346,-109.04,1.4,5.04,-32.0,35.43,TURNING_RIGHT
1.4,-0.04,-1.478,-111.82,1.4,5.04,-32.0,35.47,TURNING_RIGHT
1.5,-0.093,-1.608,-114.61,1.4,5.04,-32.0,35.5,TURNING_RIGHT
1.6,-0.151,-1.735,-117.39,1.4,5.04,-32.0,35.53,TURNING_RIGHT
1.7,-0.215,-1.859,-120.18,1.4,5.04,-32.0,35.55,TURNING_RIGHT
1.8,-0.286,-1.98,-122.96,1.4,5.04,-32.0,35.56,TURNING_RIGHT
1.9,-0.362,-2.098,-125.74,1.4,5.04,-32.0,35.57,TURNING_RIGHT
2.0,-0.444,-2.212,-128.53,1.4,5.04,-32.0,35.57,TURNING_RIGHT
2.1,-0.531,-2.321,-131.31,1.4,5.04,-32.0,35.57,TURNING_RIGHT
2.2,-0.623,-2.426,-134.1,1.4,5.04,-32.0,35.56,TURNING_RIGHT
2.3,-0.721,-2.527,-136.88,1.4,5.04,-32.0,35.54,TURNING_RIGHT
2.4,-0.823,-2.622,-139.67,1.4,5.04,-32.0,35.52,TURNING_RIGHT
2.5,-0.93,-2.713,-142.45,1.4,5.04,-32.0,35.49,TURNING_RIGHT
2.6,-1.041,-2.798,-145.24,1.4,5.04,-32.0,35.45,TURNING_RIGHT
2.7,-1.156,-2.878,-148.02,1.4,5.04,-32.0,35.41,TURNING_RIGHT
2.8,-1.274,-2.952,-150.81,1.4,5.04,-32.0,35.36,TURNING_RIGHT
2.9,-1.396,-3.021,-153.59,1.4,5.04,-32.0,35.31,TURNING_RIGHT
3.0,-1.522,-3.083,-156.38,1.4,5.04,-32.0,35.25,TURNING_RIGHT
3.1,-1.65,-3.139,-159.16,1.4,5.04,-32.0,35.19,TURNING_RIGHT
3.2,-1.781,-3.189,-161.94,1.4,5.04,-32.0,35.12,TURNING_RIGHT
3.3,-1.914,-3.232,-164.73,1.4,5.04,-32.0,35.04,TURNING_RIGHT
3.4,-2.049,-3.269,-167.51,1.4,5.04,-32.0,34.96,TURNING_RIGHT
3.5,-2.186,-3.299,-170.3,1.4,5.04,-32.0,34.87,TURNING_RIGHT
3.6,-2.324,-3.323,-173.08,1.4,5.04,-32.0,34.78,TURNING_RIGHT
3.7,-2.463,-3.34,-175.87,1.4,5.04,-32.0,34.69,TURNING_RIGHT
3.8,-2.602,-3.35,-178.65,1.4,5.04,-32.0,34.59,TURNING_RIGHT
3.9,-2.742,-3.353,178.56,1.4,5.04,-32.0,34.48,TURNING_RIGHT
4.0,-2.882,-3.35,175.78,1.4,5.04,-32.0,34.37,TURNING_RIGHT
4.1,-3.022,-3.339,172.99,1.4,5.04,-32.0,34.26,TURNING_RIGHT
4.2,-3.161,-3.322,170.21,1.4,5.04,-32.0,34.15,TURNING_RIGHT
4.3,-3.299,-3.298,167.42,1.4,5.04,-32.0,34.03,TURNING_RIGHT
4.4,-3.436,-3.268,164.64,1.4,5.04,-32.0,33.9,TURNING_RIGHT
4.5,-3.571,-3.231,161.85,1.4,5.04,-32.0,33.78,TURNING_RIGHT
4.6,-3.704,-3.187,159.07,1.4,5.04,-32.0,33.65,TURNING_RIGHT
4.7,-3.834,-3.137,156.29,1.4,5.04,-32.0,33.52,TURNING_RIGHT
4.8,-3.963,-3.081,153.5,1.4,5.04,-32.0,33.38,TURNING_RIGHT
4.9,-4.088,-3.019,150.72,1.4,5.04,-32.0,33.25,TURNING_RIGHT
5.0,-4.21,-2.95,147.93,1.4,5.04,-32.0,33.11,TURNING_RIGHT
5.1,-4.329,-2.876,145.15,1.4,5.04,-32.0,32.97,TURNING_RIGHT
5.2,-4.443,-2.796,142.36,1.4,5.04,-32.0,32.83,TURNING_RIGHT
5.3,-4.554,-2.71,139.58,1.4,5.04,-32.0,32.69,TURNING_RIGHT
5.4,-4.661,-2.619,136.79,1.4,5.04,-32.0,32.55,TURNING_RIGHT
5.5,-4.763,-2.524,134.01,1.4,5.04,-32.0,32.41,TURNING_RIGHT
5.6,-4.86,-2.423,131.22,1.4,5.04,-6.48,32.27,ACCELERATING
5.7,-4.962,-2.306,130.66,1.55,5.58,-9.31,32.12,ACCELERATING
5.8,-5.073,-2.177,129.78,1.7,6.12,-18.47,31.95,TURNING_RIGHT
5.9,-5.191,-2.035,127.81,1.85,6.66,-14.3,31.77,TURNING_RIGHT
6.0,-5.314,-1.877,126.19,2.0,7.2,-5.88,31.57,ACCELERATING
6.1,-5.441,-1.704,125.48,2.15,7.74,-2.21,31.36,ACCELERATING
6.2,-5.575,-1.516,125.2,2.3,8.28,2.2,31.14,ACCELERATING
6.3,-5.716,-1.316,125.5,2.45,8.82,4.85,30.9,ACCELERATING
6.4,-5.867,-1.104,126.2,2.6,9.36,5.68,30.65,ACCELERATING
6.5,-6.029,-0.883,127.07,2.75,9.9,23.28,30.38,TURNING_LEFT
6.6,-6.183,-0.679,130.57,2.55,9.18,19.93,30.13,TURNING_LEFT
6.7,-6.336,-0.501,133.28,2.35,8.46,-1.32,29.9,ACCELERATING
6.8,-6.507,-0.319,133.09,2.5,9.0,1.62,29.65,ACCELERATING
6.9,-6.688,-0.125,133.33,2.65,9.54,-32.0,29.39,TURNING_RIGHT
7.0,-6.856,0.053,128.46,2.45,8.82,-32.0,29.14,TURNING_RIGHT
7.1,-6.996,0.229,123.98,2.25,8.1,-32.0,28.92,TURNING_RIGHT
7.2,-7.111,0.399,119.91,2.05,7.38,-32.0,28.72,TURNING_RIGHT
7.3,-7.203,0.56,116.23,1.85,6.66,-32.0,28.55,TURNING_RIGHT
7.4,-7.276,0.708,112.95,1.65,5.94,-32.0,28.4,TURNING_RIGHT
7.5,-7.333,0.841,110.06,1.45,5.22,-32.0,28.27,TURNING_RIGHT
7.6,-7.381,0.973,107.28,1.4,5.04,-32.0,28.15,TURNING_RIGHT
7.7,-7.422,1.106,104.49,1.4,5.04,-32.0,28.03,TURNING_RIGHT
7.8,-7.457,1.242,101.71,1.4,5.04,-32.0,27.92,TURNING_RIGHT
7.9,-7.486,1.379,98.92,1.4,5.04,-32.0,27.81,TURNING_RIGHT
8.0,-7.507,1.517,96.14,1.4,5.04,-32.0,27.71,TURNING_RIGHT
8.1,-7.522,1.657,93.35,1.4,5.04,-32.0,27.61,TURNING_RIGHT
8.2,-7.53,1.796,90.57,1.4,5.04,-20.1,27.51,TURNING_RIGHT
8.3,-7.532,1.951,88.76,1.55,5.58,0.13,27.41,ACCELERATING
8.4,-7.528,2.121,88.78,1.7,6.12,11.54,27.31,ACCELERATING
8.5,-7.524,2.306,89.98,1.85,6.66,25.02,27.2,TURNING_LEFT
8.6,-7.524,2.492,92.74,1.86,6.69,22.68,27.09,TURNING_LEFT
